page,page_title,active_visitors
freshempire.betobaccofree.hhs.gov/,Fresh Empire,40
gobierno.usa.gov/,Inicio | GobiernoUSA.gov,40
irs.gov/individuals/free-tax-return-preparation-for-you-by-volunteers,Free Tax Return Preparation for Qualifying Taxpayers,40
usa.gov/register-to-vote,Register to Vote | USA.gov,40
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.freefilefillableforms.com/,IRS Disclaimer,39
bop.gov/mobile/find_inmate/,BOP: Federal Inmates By Number,39
census.gov/quickfacts/,QuickFacts,39
irs.gov/credits-&-deductions,Credits & Deductions,39
nlm.nih.gov/medlineplus/spanish/ency/article/000684.htm,SÃ_ndrome de Guillain-BarrÃ©: MedlinePlus enciclopedia mÃ©dica,39
nsopw.gov/en/search/results,Search Results,39
weather.gov/crh/weatherstory?sid=iwx&embed=,NWS Weather Story,39
ceac.state.gov/genniv/help/help.aspx,Nonimmigrant Visa - Help,38
gsaauctions.gov/gsaauctions/gsaauctions/,"GSA Auctions, General Services Administration, Government Site for Auctions",38
ssd.noaa.gov/goes/east/gmex/flash-vis.html,Gulf Of Mexico - Visible Loop (Flash) - Satellite Products and Services Division/Office of Satellite and Product Operations,38
bls.gov/ooh/,Home : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,37
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Login,37
emergency.cdc.gov/disasters/tornadoes/during.asp,During a Tornado|Tornadoes,37
espanol.flu.gov/estar-en-contacto/12ln/localizadordevacunas-2011.html,Widget del buscador de vacunas contra la influenza | Flu.gov,37
irs.gov/uac/about-form-1095-b,"Form 1095-B, Health Coverage",37
irs.gov/uac/about-form-1095-c,"Form 1095-C, Employer-Provided Health Insurance Offer and Coverage Insurance",37
irs.gov/uac/where-to-file-addresses-for--taxpayers-and--tax-professionals-filing-form-1040,Where to File Addresses for Taxpayers and Tax Professionals Filing Form 1040,37
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_nfto=false&_pagelabel=mhvhome&wt.ac=splash_mhvhome_enterbox,My HealtheVet,37
nlm.nih.gov/medlineplus/,MedlinePlus - Health Information from the National Library of Medicine,37
socialsecurity.gov/retire/apply.html,How to Apply Online For Social Security Retirement Benefits,37
studentaid.ed.gov/sa/my-student-aid,My Student Aid | Federal Student Aid,37
usbr.gov/,Bureau of Reclamation,37
apps.irs.gov/app/scripts/exit.jsp?dest=https://idverify.irs.gov/ie/e-authenticate/welcome.do,IRS Disclaimer,36
census.gov/popclock/,Population Clock,36
epa.gov/epcra/state-tier-ii-reporting-requirements-and-procedures,State Tier II Reporting Requirements and Procedures | Emergency Planning and Community Right-to-Know Act (EPCRA) | US EPA,36
irs.gov/uac/checking-the-status-of-your-refund,Checking the Status of Your Refund,36
irs.gov/uac/contact-my-local-office-in-california,Contact My Local Office in California,36
safercar.gov/,Home | Safercar -- National Highway Traffic Safety Administration (NHTSA),36
studentaid.ed.gov/sa/types/loans/subsidized-unsubsidized,Subsidized and Unsubsidized Loans | Federal Student Aid,36
treasury.gov/pages/social.aspx,Social Hub,36
treasurydirect.gov/go_to_login.htm,TreasuryDirect Application,36
vote.usa.gov/,Voter Registration | USA.gov,36
cdc.gov/std/spanish/herpes/stdfact-herpes-s.htm,Herpes genital - Enfermedades de transmisiÃ_n sexual,35
ceac.state.gov/genniv/common/thankyou.aspx,Consular Electronic Application Center - Thank You,35
ceac.state.gov/genniv/general/complete/complete_workeducation3.aspx?node=workeducation3,Nonimmigrant Visa - Additional Work/Education/Training Information,35
dhs.gov/how-do-i/check-immigration-case-status,Check Immigration Case Status | Homeland Security,35
irs.gov/instructions/i109495c/ar01.html,Instructions for Forms 1094-C and 1095-C (2015),35
irs.gov/spanish,Spanish,35
my.usajobs.gov/search/getadvancedsearchresults/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,35
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_nfto=false&_pagelabel=mhvhome,My HealtheVet,35
opm.gov/cybersecurity/,Cybersecurity Resource Center,35
petitions.whitehouse.gov/petition/tell-epa-withdraw-its-proposal-prohibit-conversion-vehicles-racecars-0,Tell the EPA to Withdraw Its Proposal to Prohibit the Conversion of Vehicles Into Racecars | We the People: Your Voice in Our Government,35
studentaid.ed.gov/sa/contact,Contact Us | Federal Student Aid,35
studentaid.ed.gov/sa/types/tax-benefits,Tax Benefits | Federal Student Aid,35
catalog.usmint.gov/kennedy-half-dollar-coins/?cm_mmc=exacttarget-_-campaign-_-20160224jfkhalfdollars+active-_-shop+now+cta,Kennedy Half Dollar Coins - US Mint Catalog Online,34
cdc.gov/std/spanish/gonorrea/stdfact-gonorrhea-s.htm,Gonorrea - Enfermedades de transmisiÃ_n sexual,34
choosemyplate.gov/myplate,MyPlate | Choose MyPlate,34
choosemyplate.gov/protein-foods,All about the Protein Foods Group | Choose MyPlate,34
data.bls.gov/pdq/surveyoutputservlet,Bureau of Labor Statistics Data,34
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3705,Selected Topic,34
foodsafety.gov/keep/charts/storagetimes.html,Storage Times for the Refrigerator and Freezer | FoodSafety.gov,34
irs.gov/individuals/identity-protection,"Identity Protection: Prevention, Detection and Victim Assistance",34
irs.gov/individuals/international-taxpayers/taxpayer-identification-numbers-tin,Taxpayer Identification Numbers (TIN),34
irs.gov/individuals/understanding-your-irs-notice-or-letter,Understanding Your IRS Notice or Letter,34
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=activeprescription&activeprescription_actionoverride=/gov/va/med/mhv/rxrefill/portlet/submitrefillaction&_pagelabel=refillprescriptions,My HealtheVet,34
nlm.nih.gov/medlineplus/spanish/ency/patientinstructions/000424.htm,Signos de peligro con los dolores de cabeza: MedlinePlus enciclopedia mÃ©dica,34
opm.gov/policy-data-oversight/snow-dismissal-procedures/current-status/,Current Status,34
socialsecurity.gov/planners/benefitcalculators.html,Calculators,34
spanish.mexico.usembassy.gov/es/visas/visas-de-no-inmigrante/como-solicitarla.html,Â¿CÃ_mo Solicitar la Visa? | Mexico - MisiÃ_n DiplomÃ¡tica de los Estados Unidos,34
ssa.gov/planners/taxes.html,Benefits Planner: Income Taxes And Your Social Security Benefits,34
tsa.gov/travel/security-screening/identification,Identification | Transportation Security Administration,34
apps.irs.gov/app/taxmat/thanks.jsp,Thank You,33
gsaauctions.gov/gsaauctions/aucitsrh/,"GSA Auctions, General Services Administration, Government Site for Auctions",33
irs.gov/?145614659568755=,Internal Revenue Service,33
irs.gov/businesses/small-businesses-&-self-employed/frequently-asked-questions-on-gift-taxes,Frequently Asked Questions on Gift Taxes,33
training.fema.gov/is/courseoverview.aspx?code=is-100.b,"FEMA - Emergency Management Institute (EMI) Course | IS-100.B: Introduction to Incident Command System, ICS-100",33
treasurydirect.gov/indiv/tools/tools_savingsbondcalc.htm,Individual - Savings Bond Calculator,33
uscis.gov/greencard,Green Card | USCIS,33
uscis.gov/i-131,Application for Travel Document | USCIS,33
weather.gov/mpx/,"Twin Cities, MN",33
benefits.va.gov/gibill/,Education and Training Home,32
census.gov/eos/www/naics/,North American Industry Classification System (NAICS) Main Page ï¿_ U.S. Census Bureau,32
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.79Â°N and Longitude 78.79Â°W (Elev. 472 ft),32
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.84Â°N and Longitude 87.68Â°W,32
"irs.gov/retirement-plans/plan-participant,-employee/retirement-topics-ira-contribution-limits",Retirement Topics - IRA Contribution Limits,32
irs.gov/uac/report-phishing,Report Phishing and Online Scams,32
nasa.gov/image-feature/flying-through-the-auroras-green-fog/,Flying Through the Aurora's Green Fog | NASA,32
nlm.nih.gov/medlineplus/spanish/ency/article/000252.htm,Gastroenteritis viral: MedlinePlus enciclopedia mÃ©dica,32
nps.gov/index.htm,National Park Service,32
nrcs.usda.gov/wps/portal/nrcs/main/national/people/employees/,NRCS Employees | NRCS,32
aphis.usda.gov/aphis/home/,USDA APHIS | Home Landing Page,31
ceac.state.gov/ivapp/ivapp/complete/complete_contact.aspx?node=addressphone1,Immigrant Visa - Present and Previous Address Information,31
consumer.ftc.gov/blog/no-debt-relief-mortgages-and-student-loans,No debt relief for mortgages and student loans | Consumer Information,31
dhs.gov/,Homeland Security,31
ed.gov/,Home | U.S. Department of Education,31
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.77Â°N and Longitude 86.16Â°W (Elev. 728 ft),31
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.86Â°N and Longitude 87.65Â°W,31
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 42.27Â°N and Longitude 83.73Â°W (Elev. 856 ft),31
irs.gov/businesses/small-businesses-&-self-employed/lost-or-misplaced-your-ein,Lost or Misplaced Your EIN?,31
irs.gov/uac/about-form-w2,"Form W-2, Wage and Tax Statement",31
"irs.gov/uac/form-1098-t,-tuition-statement","Form 1098-T, Tuition Statement",31
irs.gov/uac/taxpayer-guide-to-identity-theft,Taxpayer Guide to Identity Theft,31
jpl.nasa.gov/news/news.php?feature=5505,News | Pulsar Web Could Detect Low-Frequency Gravitational Waves,31
my.uscis.gov/findadoctor,USCIS - Find a Doctor,31
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfls=false&_nfpb=true&_nfto=true&_pagelabel=mhvhome,My HealtheVet,31
myhealthevet.va.gov/index.html,My HealtheVet - The Gateway to Veteran Health and Wellness,31
nasa.gov/feature/goddard/2016/nasa-contributes-to-global-standard-for-navigation/,"NASA Contributes to Global Standard for Navigation, Studies of Earth | NASA",31
nasa.gov/press-release/nasa-partners-on-air-quality-study-in-east-asia/,NASA Partners on Air Quality Study in East Asia | NASA,31
nces.ed.gov/nceskids/createagraph/,Create A Graph,31
nps.gov/deva/learn/nature/wildflower-update-2016.htm,Wildflower Update 2016 - Death Valley National Park (U.S. National Park Service),31
public-prod-elis2.uscis.dhs.gov/efile/app/app/#!/,USCIS,31
sm.myhealth.va.gov/mhv-sm-web/reply.action,My HealtheVet - Secure Messaging - Read Message,31
studentaid.ed.gov/sa/repay-loans,How to Repay Your Loans | Federal Student Aid,31
weather.gov/gsp/,"Greer, SC",31
weather.gov/lsx/,"St. Louis, MO",31
whitehouse.gov/blog,The White House Blog | whitehouse.gov,31
benefits.va.gov/benefits/,Veterans Benefits Administration Home,30
cdc.gov/std/trichomonas/stdfact-trichomoniasis.htm,STD Facts - Trichomoniasis,30
consumer.ftc.gov/articles/0108-national-do-not-call-registry,National Do Not Call Registry | Consumer Information,30
efast.dol.gov/welcome.html,EFAST2 Filing - Welcome,30
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.29Â°N and Longitude 77.5Â°W (Elev. 200 ft),30
irs.gov/uac/e-help-desk-toll-free-number,e-help Desk Toll-Free Number,30
my.usajobs.gov/applicant/application/listapplications,USAJOBS - Application Status,30
my.usajobs.gov/applicant/myaccount/home/,My Account - Home,30
nasa.gov/mission_pages/station/main/index.html,International Space Station | NASA,30
nces.ed.gov/,"National Center for Education Statistics (NCES) Home Page, a part of the U.S. Department of Education",30
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a697038-es.html,Loratadina: MedlinePlus medicinas,30
nsopw.gov/en-us/search,Search,30
quickfacts.census.gov/qfd/states/00000.html,USA QuickFacts from the US Census Bureau,30
sam.gov/portal/sam/,System for Award Management,30
smclinician.myhealth.va.gov/mhv-sm-web/reply.action,My HealtheVet - Secure Messaging - Read Message,30
ssa.gov/forms/,Forms,30
usahire.opm.gov/do/opmirt1,USA Hire,30
weather.gov/lmk/,"Louisville, KY",30
acquisition.gov/,Federal Acquisition Regulation (FAR) | Acquisition.GOV,29
ceac.state.gov/ctrac/invoice/invoice.aspx?node=invoice,Invoice Page,29
ceac.state.gov/genniv/general/review/review_reviewtravel.aspx?node=reviewtravel,Non-Immigrant Visa - Review Travel Information,29
climate.nasa.gov/evidence/,Climate Change: Vital Signs of the Planet: Evidence,29
drugabuse.gov/publications/drugfacts/mdma-ecstasymolly,DrugFacts: MDMA (Ecstasy/Molly) | National Institute on Drug Abuse (NIDA),29
e-verify.uscis.gov/emp/cpshome.aspx,E-Verify - Home Page,29
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.77Â°N and Longitude 78.63Â°W (Elev. 299 ft),29
help.usajobs.gov/index.php/main_page,USAJOBS Help,29
ic3.gov/default.aspx,Internet Crime Complaint Center (IC3) | Home,29
irs.gov/uac/about-form-4506t,"Form 4506-T, Request for Transcript of Tax Return",29
irs.gov/uac/about-schedule-a-form-1040,"Schedule A (Form 1040), Itemized Deductions",29
irs.gov/uac/do-i-need-to-file-a-tax-return,Do I Need to File a Tax Return?,29
lewis-mcchord.army.mil/,Joint Base Lewis-McChord,29
nlm.nih.gov/medlineplus/spanish/ency/article/000256.htm,Apendicitis : MedlinePlus enciclopedia mÃ©dica,29
nsopw.gov/en-us/search/printview,NSOPW Print View,29
opm.gov/policy-data-oversight/pay-leave/salaries-wages/,Salaries & Wages,29
socialsecurity.gov/agency/contact/,Contact Social Security,29
spc.noaa.gov/products/md/md0141.html,Storm Prediction Center Mesoscale Discussion 141,29
studentaid.ed.gov/sa/fafsa/filling-out,Filling Out the FAFSA | Federal Student Aid,29
tsa.gov/for-industry/twic,TWICÂ® | Transportation Security Administration,29
apod.nasa.gov/apod/,Astronomy Picture of the Day,28
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.pay1040.com/,IRS Disclaimer,28
archives.gov/exhibits/charters/bill_of_rights_transcript.html,Bill of Rights Transcript Text,28
cdc.gov/ncbddd/birthdefects/microcephaly.html,Facts about Microcephaly | Birth Defects | NCBDDD | CDC,28
cdc.gov/spanish/especialescdc/sintomastuberculosis/,Enfermedad de tuberculosis (TB): SÃ_ntomas y factores de riesgo - Especiales CDC - CDC en EspaÃ±ol,28
ceac.state.gov/ctrac/invoice/receipt.aspx?node=receipt,Receipt Page,28
choosemyplate.gov/fruit,All About the Fruit Group | Choose MyPlate,28
fpds.gov/fpdsng_cms/index.php/en/,Federal Procurement Data System - Next Generation,28
freshempire.betobaccofree.hhs.gov/the-latest/fresh-and-in-control/,Fresh and In Control - Fresh Empire,28
irs.gov/publications/p501/ar02.html,"Publication 501 (2015), Exemptions, Standard Deduction, and Filing Information",28
nws.noaa.gov/os/severeweather/,NWS Tornado Safety Tips,28
portal.hud.gov/hudportal/hud?src=/topics/homes_for_sale,Homes for Sale/U.S. Department of Housing and Urban Development (HUD),28
socialsecurity.gov/hlp/global/hlp-statement-7004-revi.htm,Request For Social Security Statement (SSA-7004),28
uscis.gov/es,Espanol Homepage | USCIS,28
weather.gov/crh/weatherstory?sid=lot&embed=,NWS Weather Story,28
www2.ed.gov/programs/psp/applicant.html,Applicant Information -- U.S. Presidential Scholars Program,28
applicationmanager.gov/sso.aspx,Application Manager,27
cdc.gov/std/bv/stdfact-bacterial-vaginosis.htm,STD Facts - Bacterial Vaginosis,27
cdc.gov/std/hpv/stdfact-hpv-and-men.htm,STD Facts - HPV and Men,27
ceac.state.gov/genniv/general/complete/complete_securityandbackground5.aspx?node=securityandbackground5,Nonimmigrant Visa - Security and Background: Part 5,27
fbo.gov/index?s=opportunity&mode=list,Opportunities - Federal Business Opportunities: Opportunities,27
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.98Â°N and Longitude 78.9Â°W (Elev. 377 ft),27
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit/eitc-income-limits-maximum-credit-amounts,"2015 EITC Income Limits, Maximum Credit Amounts and Tax Law Updates",27
irs.gov/uac/about-form-1095-a,"Form 1095-A, Health Insurance Marketplace Statement",27
my.usajobs.gov/applicant/resume/listresumes/,USAJOBS - Resumes,27
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=downloaddata&downloaddata_actionoverride=/gov/va/med/mhv/usermgmt/downloadyourdata/downloadselectionsreport&_pagelabel=downloaddata,My HealtheVet,27
socialsecurity.gov/forms/,Forms,27
uscis.gov/i-751,Petition to Remove Conditions on Residence | USCIS,27
uscis.gov/i-9-central/acceptable-documents/list-documents/form-i-9-acceptable-documents,Form I-9 Acceptable Documents | USCIS,27
ada.gov/,ADA.gov homepage,26
apps.irs.gov/app/scripts/exit.jsp?dest=https://play.google.com/store/apps/details?id=gov.irs&referrer=utm_source=irspup,IRS Disclaimer,26
apps.irs.gov/app/withholdingcalculator/index2.jsp,2016 Withholding Calculator,26
archives.gov/,National Archives and Records Administration,26
bls.gov/cpi/,Consumer Price Index (CPI),26
cdc.gov/std/spanish/vph/stdfact-hpv-and-men-s.htm,El VPH y los hombres - Enfermedades de transmisiÃ_n sexual,26
cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html,Birth-18 Years Immunization Schedule | CDC,26
ceac.state.gov/genniv/general/complete/complete_securityandbackground3.aspx?node=securityandbackground3,Nonimmigrant Visa - Security and Background: Part 3,26
dol.gov/whd/fmla/,Family and Medical Leave Act - Wage and Hour Division (WHD) - U.S. Department of Labor,26
drugabuse.gov/publications/drugfacts/marijuana,DrugFacts: Marijuana | National Institute on Drug Abuse (NIDA),26
energystar.gov/,ENERGY STAR | The Simple Choice for Energy Efficiency,26
faq.ssa.gov/link/portal/34011/34019/article/3739/what-happens-if-i-work-and-get-social-security-retirement-benefits,What happens if I work and get Social Security retirement benefits?,26
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.31Â°N and Longitude 77.49Â°W (Elev. 203 ft),26
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.96Â°N and Longitude 75.16Â°W (Elev. 26 ft),26
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.08Â°N and Longitude 85.14Â°W (Elev. 748 ft),26
ic3.gov/complaint/default.aspx,Internet Crime Complaint Center (IC3) | File a Complaint,26
irs.gov/taxtopics/tc502.html,Tax Topics - Topic 502 Medical and Dental Expenses,26
irs.gov/uac/about-form-1040a,"Form 1040A, U.S. Individual Income Tax Return",26
irs.gov/uac/forms-and-publications-by-u.s.-mail,Forms and Publications by U.S. Mail,26
irs.gov/uac/newsroom/new-standard-mileage-rates-now-available,New Standard Mileage Rates Now Available; Business Rate to Rise in 2015,26
nasa.gov/feature/goddard/2016/nasas-james-webb-space-telescope-coming-together-over-next-two-years/,NASA's James Webb Space Telescope Coming Together Over Next Two Years | NASA,26
nasa.gov/multimedia/nasatv/,NASA Television | NASA,26
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685001-es.html,Amoxicilina: MedlinePlus medicinas,26
npdb.hrsa.gov/,The NPDB - Health Care Organizations Sign In,26
ssa.gov/retire/,Social Security Retirement Benefits - Online Application Information,26
state.gov/,U.S. Department of State,26
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/teacher,Teacher Loan Forgiveness | Federal Student Aid,26
travel.state.gov/content/passports/en/passports/services/expedited.html,Get a Passport in a Hurry,26
travel.state.gov/content/visas/en/general/wait-times.html/,Visa Appointment & Processing Wait Times,26
travel.state.gov/content/visas/en/visit/visa-waiver-program.html,Visa Waiver Program,26
uscis.gov/citizenship/teachers/educational-products/100-civics-questions-and-answers-mp3-audio-english-version,100 Civics Questions and Answers with MP3 Audio (English version) | USCIS,26
weather.gov/fsd/,"Sioux Falls, SD",26
whitehouse.gov/1600/presidents/andrewjackson,Andrew Jackson | whitehouse.gov,26
benefits.va.gov/compensation/,Compensation Home,25
benefits.va.gov/warms/pam26_7.asp,Lenders Handbook - VA Pamphlet 26-7 - Web Automated Reference Material System,25
cbp.gov/travel/international-visitors/esta,Electronic System for Travel Authorization | U.S. Customs and Border Protection,25
cdc.gov/nhsn/training/annualtraining/,NHSN Training 2016,25
ceac.state.gov/genniv/general/complete/complete_family2.aspx?node=spouse,Nonimmigrant Visa - Family Information: Spouse,25
ceac.state.gov/genniv/general/complete/complete_securityandbackground2.aspx?node=securityandbackground2,Nonimmigrant Visa - Security and Background: Part 2,25
dol.gov/ebsa/faqs/faq-consumer-cobra.html,FAQs about COBRA Continuation Health Coverage,25
espanol.cdc.gov/enes/flu/professionals/acip/clinical.htm,Signos y sÃ_ntomas clÃ_nicos de la influenza | Profesionales de la salud | Influenza estacional (gripe),25
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3749,Selected Topic,25
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.07Â°N and Longitude 87.97Â°W (Elev. 715 ft),25
hhs.gov/ohrp/humansubjects/guidance/belmont.html,The Belmont Report | HHS.gov,25
irs.gov/uac/about-form-8962,"Form 8962, Premium Tax Credit (PTC)",25
irs.gov/uac/irs-urges-public-to-stay-alert-for-scam-phone-calls,IRS Urges Public to Stay Alert for Scam Phone Calls,25
nlm.nih.gov/medlineplus/spanish/highbloodpressure.html,PresiÃ_n arterial alta: MedlinePlus en espaÃ±ol,25
opm.gov/search/,Search,25
pafc.arh.noaa.gov/mesonet.php,"National Weather Service, Anchorage Forecast Office Mesonet",25
petitions.whitehouse.gov/petition/apple-privacy-petition,"Halt efforts that compel Apple and other device makers to create a ""backdoor"" for the Government to access citizens data | We the People: Your Voice in Our Government",25
rma.usda.gov/tools/,Information Browser,25
safercar.gov/rs/takata/takatalist.html,NHTSA Recalls Spotlight - Takata Air Bag Recalls,25
sba.gov/,U.S. Small Business Administration | The U.S. Small Business Administration | SBA.gov,25
selectionmanager.usastaffing.gov/account/logout,Selection Manager - Powered by USA Staffing,25
travel.state.gov/content/passports/en/passports/information/application-status.html,Application Status,25
travel.state.gov/content/passports/en/passports/information/where-to-apply/agencies.html,Passport Agencies,25
usa.gov/passport,Getting or Renewing a U.S. Passport | USA.gov,25
usajobs.gov/getjob/viewdetails/430048000/,USAJOBS - Search Jobs,25
uspto.gov/patents-application-process/applying-online/about-efs-web,About EFS-Web | USPTO,25
weather.gov/apx/,"Gaylord, MI",25
weather.gov/gyx/,"Gray - Portland, ME",25
benefits.va.gov/warms/bookc.asp,"38 CFR Book C, Schedule for Rating Disabilities - Web Automated Reference Material System",24
cdc.gov/flu/about/season/flu-season-2015-2016.htm,What You Should Know for the 2015-2016 Influenza Season | Seasonal Influenza (Flu) | CDC,24
cdc.gov/norovirus/about/symptoms.html,Norovirus | Symptoms | CDC,24
cdc.gov/std/gonorrhea/stdfact-gonorrhea.htm,STD Facts - Gonorrhea,24
cdc.gov/std/spanish/clamidia/stdfact-chlamydia-s.htm,Clamidia - Enfermedades de transmisiÃ_n sexual,24
cdc.gov/zika/geo/americas.html,Countries & Territories in the Americas with Active Local Zika Virus Transmission | Zika virus | CDC,24
faa.gov/uas/registration/,Unmanned Aircraft Systems (UAS) Registration,24
faq.ssa.gov/link/portal/34011/34019/article/3749/how-do-i-change-or-correct-my-name-on-my-social-security-number-card,How do I change or correct my name on my Social Security number card?,24
faq.ssa.gov/link/portal/34011/34019/article/3755/how-do-i-apply-for-a-new-or-replacement-social-security-number-card,How do I apply for a new or replacement Social Security number card?,24
fda.gov/drugs/default.htm,Drugs,24
fws.gov/,U.S. Fish and Wildlife Service,24
irs.gov/filing/e-file-options,E-File Options for Individuals,24
irs.gov/uac/tax-benefits-for-education:-information-center,Tax Benefits for Education: Information Center,24
nlm.nih.gov/medlineplus/spanish/ency/article/003645.htm,Hemoglobina: MedlinePlus enciclopedia mÃ©dica,24
nws.noaa.gov/os/severeweather/ww.shtml,NWS Tornado Watch vs Warning,24
portal.hud.gov/hudportal/hud?src=/topics/limited_denials_of_participation,Limited Denials of Participation/U.S. Department of Housing and Urban Development (HUD),24
spc.noaa.gov/products/watch/ww0028_prob.html,SPC Watch Hazard Probabilities Table: Tornado Watch 28,24
travel.state.gov/content/visas/en/law-and-policy/bulletin/2016/visa-bulletin-for-february-2016.html,Visa Bulletin For February 2016,24
treasury.gov/resource-center/sanctions/sdn-list/pages/default.aspx,Specially Designated Nationals List (SDN),24
va.gov/opa/pressrel/pressrelease.cfm?id=2748,News Releases - Office of Public and Intergovernmental Affairs,24
weather.gov/buf/,"Buffalo, NY",24
weather.gov/satellite,Satellite Images,24
whitehouse.gov/1600/executive-branch,The Executive Branch | whitehouse.gov,24
archives.gov/veterans/military-service-records/standard-form-180.html,"Military Personnel Records, SF-180",23
cdc.gov/norovirus/,Norovirus | Home | CDC,23
ceac.state.gov/genniv/general/complete/complete_securityandbackground1.aspx?node=securityandbackground1,Nonimmigrant Visa - Security and Background: Part 1,23
ceac.state.gov/ivapp/ivapp/complete/complete_personal.aspx?node=personal1,Application for Immigrant Visa and Alien Registration - Personal Information 1,23
choosemyplate.gov/vegetables,All about the Vegetable Group | Choose MyPlate,23
climate.nasa.gov/,NASA: Climate Change and Global Warming,23
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Document Name and State,23
ebenefits.va.gov/ebenefits/vonapp,Veteran On-Line Application (VONAPP) - eBenefits,23
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status Search,23
espanol.cdc.gov/enes/flu/professionals/antivirals/summary-clinicians.htm,Medicamentos antivirales para la influenza: Resumen para mÃ©dicos clÃ_nicos | Profesionales de la salud | Influenza estacional (gripe),23
ferc.gov/docs-filing/elibrary.asp,FERC: Documents & Filing - FERC Online - eLibrary,23
foodsafety.gov/keep/charts/mintemp.html,Safe Minimum Cooking Temperatures | FoodSafety.gov,23
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.29Â°N and Longitude 76.61Â°W (Elev. 7 ft),23
help.usajobs.gov/index.php/what_to_include,What To Include - USAJOBS Help,23
irs.gov/businesses/small-businesses-&-self-employed/report-of-foreign-bank-and-financial-accounts-fbar,Report of Foreign Bank and Financial Accounts (FBAR),23
irs.gov/individuals/general-itin-information,General ITIN Information,23
irs.gov/individuals/how-do-you-report-suspected-tax-fraud-activity,How Do You Report Suspected Tax Fraud Activity?,23
irs.gov/uac/newsroom/taxpayers-receiving-identity-verification-letter-should-use-idverifyirsgov,Taxpayers Receiving Identity Verification Letter Should Use IDVerify.irs.gov,23
irs.gov/uac/where-to-file-paper-tax-returns-with-or-without-a-payment,Where to File Paper Tax Returns - With or Without a Payment,23
kids.usa.gov/three-branches-of-government/index.shtml,Three Branches of Government | Government for Kids | Grades K - 5 | Kids.gov,23
locator.ice.gov/odls/searchbyaliennumber.do,Online Detainee Locator System,23
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_nfto=false&_pagelabel=securemessagingpage,My HealtheVet,23
nlm.nih.gov/medlineplus/spanish/ency/article/000521.htm,InfecciÃ_n urinaria en adultos: MedlinePlus enciclopedia mÃ©dica,23
nlm.nih.gov/medlineplus/spanish/ency/article/001504.htm,Quistes ovÃ¡ricos: MedlinePlus enciclopedia mÃ©dica,23
nlm.nih.gov/medlineplus/spanish/ency/article/001982.htm,Temperatura corporal normal: MedlinePlus enciclopedia mÃ©dica,23
opm.gov/policy-data-oversight/snow-dismissal-procedures/federal-holidays/,Federal Holidays,23
portal.fmcsa.dot.gov/wps/myportal/enforcement/e/home/!ut/p/a1/hy4xd4iweiv_cwnr7wru4ty4aagoxeshi6kkbvn6pfr-v2gcew97l9-xdyagb2hk0cjpgjjsv7nyxby7vo_wksjgsytbktsgsrzifahhobgb_hec__lneppi4gvmtcqglkbr592cm2sykxc2repbwva0y1071_ubh33sydqpwdxeesnu5jiiwudnqjftdk29g3xkgq7n8bhuq8o97wxxje_h/dl5/d5/l2dbisevz0fbis9nqseh/,FMCSA Portal,23
portal.hud.gov/hudportal/hud?src=/topics/buying_a_home,Buying a Home/U.S. Department of Housing and Urban Development (HUD),23
ssa.gov/planners/retire/1943.html,Full Retirement Age: If You Were Born Between 1943 And 1954,23
studentaid.ed.gov/sa/resources,Resources | Federal Student Aid,23
